KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2,AREA,YEAR
11,68,14,7,3033,3964,F,11E,8e,2H,Vs,0,2,4,1,,,188,67,,1,463,98,20,14,2,4,1968
11,68,14,7,1326,3965,G,10I,7b,3U,Up,0,2,7,,65,,33,67,,1,463,98,20,14,2,4,1968
11,68,15,4,704,3966,F,20E,4j,1L,Ja,0,2,5,,73,,352,67,,1,467,102,21,15,2,2,1968
11,68,15,4,1021,3967,F,11H,2j,3U,Up,0,1,,1,62,,341,67,,1,467,102,21,15,1,4,1968
11,68,15,4,3034,3968,F,10D,7f,2H,Vr,1,2,5,,,,428,66,,1,832,102,21,15,2,3,1968
11,68,15,3,3035,3969,U,14C,1f,2H,Vr,0,2,5,,61,,411,67,,1,466,101,21,15,2,3,1968
11,68,15,3,3036,3970,U,14C,1f,2H,Vr,3,2,5,1,57,,411,64,,1,1561,101,21,15,2,3,1968
11,68,16,1,705,3971,U,17E,9c,1L,Ja,0,1,,3,64,,116,67,,1,471,106,22,16,1,2,1968
11,68,15,7,533,3972,F,19D,5h,1L,Ja,1,2,4,2,54,,422,66,,1,835,105,21,15,2,2,1968
11,68,7,1,1022,3973,U,18E,9j,1L,Ja,0,1,,3,41,,224,67,,1,408,43,9,7,1,2,1968
11,68,8,3,1023,3974,U,18E,9j,1L,Ja,0,1,,3,42,,224,67,,1,417,52,11,8,1,2,1968
11,68,6,1,3037,3975,U,18E,9j,1L,Ja,0,1,,3,49,,224,67,,1,401,36,8,6,1,2,1968
11,68,16,3,1748,3976,U,03D,3i,4S,Sk,7,1,,2,,,289,60,,1,3028,108,22,16,1,5,1968
11,68,15,7,816,3977,U,10C,5d,2H,Vr,4,1,,3,,,230,63,,1,1930,105,21,15,1,3,1968
11,68,16,1,817,3978,F,20E,4j,1L,Ja,0,1,,3,87,,352,67,,1,471,106,22,16,1,2,1968
11,68,15,6,534,3979,S,09F,6j,3U,Og,0,1,,3,59,,43,67,,1,469,104,21,15,1,5,1968
11,68,15,4,423,3980,V,19E,7j,1L,Ja,1,1,,3,56,,454,66,,1,832,102,21,15,1,2,1968
11,68,15,4,1024,3981,S,01D,9j,4S,Sk,2,1,,3,78,,402,65,,1,1197,102,21,15,1,5,1968
11,68,16,3,706,3982,F,11D,0d,2H,Vr,0,2,7,,43,,15,67,,1,473,108,22,16,2,3,1968
11,68,16,1,1558,3983,F,11F,1g,2H,Vs,2,1,,3,50,,410,65,,1,1201,106,22,16,1,4,1968
11,68,16,4,1839,3984,L,10I,1i,3U,So,2,1,,3,70,,32,65,,1,1204,109,22,16,1,4,1968
11,68,16,6,322,3985,L,10I,1i,3U,So,1,2,6,1,55,,32,66,,1,841,111,23,16,2,4,1968
11,68,15,2,424,3986,V,18C,0f,1L,Hr,0,1,,3,54,,299,67,,1,465,100,20,15,1,2,1968
11,68,16,5,535,3987,V,17E,9c,1L,Ja,0,2,2,1,54,,116,67,,1,475,110,22,16,2,2,1968
11,68,17,1,818,3988,F,10C,5d,2H,Vr,3,1,,3,69,,230,64,,1,1573,113,23,17,1,3,1968
11,68,14,3,1749,3989,V,12C,5e,2H,Vr,0,2,2,1,46,,295,67,,1,459,94,19,14,2,3,1968
11,68,15,4,1840,3990,V,12C,5e,2H,Vr,4,2,5,,46,,295,63,,1,1927,102,21,15,2,3,1968
11,68,15,4,1412,3991,V,12C,5e,2H,Vr,0,2,5,,42,,295,67,,1,467,102,21,15,2,3,1968
11,68,15,3,1921,3992,V,12C,5e,2H,Vr,0,1,,3,59,,295,67,,1,466,101,21,15,1,3,1968
11,68,3,3,3038,3993,V,29J,7h,1L,Lp,1,1,,1,66,,238,66,,1,747,17,4,3,1,2,1968
11,68,17,6,536,3994,F,18F,3f,1L,Ja,0,1,,3,72,,467,67,,1,483,118,24,17,1,2,1968
11,68,18,2,1327,3995,L,11H,2j,3U,Up,2,1,,1,87,,341,65,,1,1216,121,25,18,1,4,1968
11,68,19,2,707,3996,F,11H,2j,3U,Up,0,2,5,,52,,341,67,,1,493,128,26,19,2,4,1968
11,68,19,3,708,3997,F,11H,2j,3U,Up,0,1,,2,63,,341,67,,1,494,129,26,19,1,4,1968
11,68,19,3,709,3998,F,11H,2j,3U,Up,0,2,6,1,51,,341,67,,1,494,129,26,19,2,4,1968
11,68,14,4,2201,3999,V,12D,4f,2H,Vr,5,2,5,,51,,425,62,,1,2285,95,19,14,2,3,1968
11,68,14,2,710,4000,F,12D,4f,2H,Vr,0,1,,3,58,,425,67,,1,458,93,19,14,1,3,1968
