KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2
11,69,8,5,2302,5364,V,11C,3i,2H,Vr,2,2,1,,43,,427,66,,1,1147,52,11,8,2
11,69,7,6,341,5365,V,11D,1b,2H,Vr,0,1,,3,53,,427,68,,1,411,46,10,7,1
11,69,8,1,226,5366,V,10D,9b,2H,Vr,0,2,4,1,63,,427,68,,1,413,48,10,7,2
11,68,53,2,2303,5367,V,09I,8c,3U,So,0,1,,3,80,,291,68,,1,366,366,74,53,1
11,68,45,4,2304,5368,V,09I,8c,3U,So,2,5,,3,60,,291,66,,1,1042,312,63,45,5
11,69,6,2,2305,5369,V,09I,8c,3U,So,0,1,,,45,,291,68,,1,400,35,7,5,1
11,69,5,3,2108,5370,V,09I,8c,3U,So,0,1,,,70,,291,68,,1,394,29,6,5,1
11,69,5,4,446,5371,V,09I,8c,3U,So,0,,,,,,291,68,,1,395,30,6,5,
11,69,1,9,3057,5372,U,09I,8c,3U,So,2,,,,,,291,66,,1,1097,2,-9,-9,
11,69,1,9,3058,5373,U,09I,8c,3U,So,0,1,,,,,291,68,,1,367,2,-9,-9,1
11,69,1,9,3059,5374,U,09I,8c,3U,So,2,,,,,,291,66,,1,1097,2,-9,-9,
11,69,1,9,3000,5375,U,09I,8c,3U,So,0,,,,,,291,68,,1,367,2,-9,-9,
11,69,9,1,750,5376,X,19D,5f,1L,Ja,3,2,,,56,,212,65,,1,1515,55,11,8,2
11,69,8,7,849,5377,X,20E,4j,1L,Ja,0,1,,3,71,,352,68,,1,419,54,11,8,1
11,69,8,2,1043,5378,X,18F,0c,1L,Ja,2,1,,3,60,,102,66,,1,1144,49,10,7,1
11,69,7,2,342,5379,V,29J,7h,1L,Lp,0,2,,,25,,255,68,,1,407,42,9,6,2
11,69,4,4,110,5380,V,29J,7h,1L,Lp,0,1,,,50,,255,68,,1,388,23,5,4,1
